c Grafo gerado automaticamente
p edge 1500 2000
e 1109 985 45
e 331 434 93
e 1008 1491 52
e 15 1221 59
e 1408 140 98
e 223 1260 19
e 59 906 63
e 924 255 68
e 789 720 17
e 753 1260 15
e 376 910 48
e 808 502 61
e 1409 308 76
e 1397 1439 22
e 709 897 42
e 405 1357 81
e 1372 1165 14
e 212 616 50
e 657 933 25
e 558 17 21
e 615 236 23
e 1383 408 28
e 721 1486 53
e 1476 617 98
e 254 903 26
e 450 1440 84
e 1260 592 73
e 349 366 73
e 325 1057 2
e 846 1174 73
e 1156 689 88
e 985 1224 3
e 128 547 41
e 10 1066 6
e 285 1036 65
e 704 1207 99
e 351 838 29
e 679 411 39
e 465 1321 40
e 554 709 39
e 114 789 97
e 268 1253 62
e 407 814 62
e 206 356 60
e 646 395 79
e 795 538 90
e 948 741 32
e 544 1346 69
e 817 1154 28
e 68 1499 91
e 666 1372 32
e 78 848 88
e 110 358 78
e 327 1279 18
e 771 1458 22
e 1355 484 31
e 854 197 86
e 424 1047 78
e 1283 560 46
e 1454 961 3
e 321 183 16
e 392 734 19
e 1454 1420 45
e 1044 1341 11
e 1167 381 99
e 477 409 26
e 192 386 82
e 805 433 27
e 1443 305 37
e 594 937 54
e 678 638 3
e 439 127 4
e 1284 423 21
e 830 1210 50
e 666 889 96
e 1176 1187 77
e 889 1117 56
e 1430 279 1
e 538 50 89
e 1338 1174 56
e 640 887 32
e 644 847 17
e 1102 509 25
e 694 1459 22
e 1086 273 30
e 250 1170 77
e 1203 3 76
e 39 1175 26
e 283 294 46
e 108 573 38
e 1313 367 26
e 218 1047 40
e 210 1393 47
e 513 1079 40
e 944 1017 100
e 440 539 34
e 376 408 59
e 1251 331 21
e 1070 554 9
e 1292 704 3
e 1062 421 24
e 889 1132 47
e 1307 843 12
e 330 1181 1
e 1257 773 52
e 631 151 19
e 1099 999 60
e 49 346 29
e 285 245 53
e 1312 623 5
e 185 455 76
e 1179 552 3
e 1174 1468 95
e 236 408 10
e 40 1438 86
e 916 498 65
e 342 1471 31
e 829 301 7
e 850 18 46
e 1426 1223 25
e 1 518 6
e 461 1311 4
e 323 548 41
e 764 701 24
e 114 648 65
e 729 887 77
e 544 560 17
e 1373 1495 51
e 1294 415 81
e 881 1418 71
e 74 1412 16
e 1341 872 8
e 1261 1423 98
e 33 851 13
e 745 600 7
e 927 1114 21
e 1276 654 75
e 1059 1486 35
e 827 111 13
e 1417 1196 42
e 1419 731 16
e 1409 720 41
e 1229 1173 85
e 894 409 84
e 852 35 21
e 17 1227 60
e 294 733 13
e 709 259 18
e 1424 215 39
e 1459 1080 2
e 1012 569 42
e 1151 1460 58
e 1248 1376 70
e 343 164 10
e 715 981 49
e 425 1068 45
e 932 1099 11
e 812 1427 99
e 1094 988 12
e 458 809 31
e 962 1150 50
e 603 994 16
e 1338 627 33
e 250 1115 47
e 804 1150 33
e 1173 626 13
e 1027 991 27
e 71 474 48
e 1470 1499 26
e 390 1044 42
e 452 490 73
e 1416 1395 34
e 285 1029 57
e 1068 407 45
e 656 424 84
e 345 250 96
e 862 187 62
e 537 826 59
e 341 813 94
e 171 614 87
e 1405 997 73
e 1265 1046 69
e 929 70 68
e 1458 697 3
e 114 273 98
e 1060 1193 36
e 1491 589 50
e 1103 506 64
e 46 926 7
e 733 1214 59
e 1204 432 15
e 1122 1115 37
e 1421 52 45
e 131 1332 37
e 798 857 86
e 95 1392 74
e 1113 1287 67
e 1445 856 63
e 1182 535 22
e 661 987 22
e 542 1140 19
e 1167 805 38
e 661 470 40
e 89 524 43
e 1123 1444 53
e 961 238 10
e 1291 942 24
e 427 527 97
e 1219 962 88
e 1272 1064 99
e 966 1500 57
e 1215 235 60
e 762 139 67
e 663 1375 15
e 436 1430 17
e 1061 1027 88
e 1382 85 6
e 121 185 37
e 1466 197 52
e 699 655 63
e 775 425 2
e 662 1237 29
e 1476 483 5
e 493 118 83
e 285 1316 77
e 988 572 26
e 1210 496 91
e 382 217 51
e 135 239 35
e 732 1317 12
e 260 81 90
e 1173 98 96
e 372 849 68
e 1148 571 46
e 266 432 14
e 605 1473 21
e 383 1411 4
e 1016 1099 78
e 155 233 62
e 522 989 78
e 1181 498 88
e 322 271 81
e 1144 1150 70
e 1410 70 64
e 1381 947 44
e 1276 1284 32
e 1091 1460 74
e 948 1306 21
e 1450 791 55
e 34 868 26
e 1411 1177 68
e 579 209 67
e 464 348 14
e 1408 957 78
e 316 994 4
e 304 84 93
e 229 1351 44
e 177 326 56
e 26 630 87
e 1427 688 96
e 1156 267 63
e 250 223 22
e 1336 1037 93
e 691 859 65
e 173 840 60
e 1400 166 85
e 377 1133 51
e 99 1334 16
e 1377 578 87
e 332 138 100
e 169 1394 32
e 1388 778 61
e 55 1328 8
e 685 652 71
e 847 1498 99
e 608 1018 76
e 288 579 13
e 1060 539 66
e 918 561 20
e 1101 4 93
e 560 79 36
e 221 1206 82
e 200 1321 58
e 477 359 33
e 467 1145 18
e 1374 69 22
e 370 359 86
e 550 1342 44
e 138 510 64
e 182 1099 58
e 1107 801 75
e 642 1175 63
e 263 1251 69
e 285 88 99
e 780 1002 89
e 728 336 18
e 928 1409 42
e 64 206 30
e 24 1302 71
e 444 1365 7
e 1334 151 85
e 753 1470 23
e 1442 742 100
e 71 300 14
e 778 21 37
e 113 346 71
e 310 679 41
e 746 1164 54
e 100 1255 55
e 610 191 42
e 750 594 64
e 33 1196 9
e 291 1407 20
e 1406 1058 41
e 1430 567 18
e 1452 1145 68
e 1355 1167 33
e 1113 99 68
e 1045 902 64
e 187 91 50
e 929 604 90
e 409 481 35
e 789 525 90
e 1108 1333 82
e 656 231 96
e 432 333 7
e 40 521 5
e 683 108 37
